name,url,İşlemci_Modeli,price,id,brand,Kullanım_Amacı,Ekran_Boyutu,Çözünürlük,Çözünürlük_Standartı,Panel_Tipi,Ekran_Yenileme_Hızı,Ekran_Kartı_Tipi,Ekran_Kartı,Ekran_Kartı_Hafızası,Maksimum_İşlemci_Hızı,Ram,SSD,İşlemci_Çekirdek_Sayısı,Temel_İşlemci_Hızı,Parmak_İzi_Okuyucu,İşletim_Sistemi
"IP Slim 3 14IRH10 i5-13420H 16 512 SSD 14"" W11 83K00028TR Laptop - Lenovo Çanta Wz2",https://www.trendyol.com/lenovo/ip-slim-3-14irh10-i5-13420h-16-512-ssd-14-w11-83k00028tr-laptop-lenovo-canta-wz2-p-922057167?boutiqueId=61&merchantId=482979,13420H,23845,922057167,LENOVO,Ofis - İş,14 inç,1920 x 1200,WUXGA,IPS,,Dahili,Intel UHD Graphics,1.0,4.6,16,512,8,3.4,Yok,Windows
OMEN 17 R9 8945HS 64 RAM 1 SSD RTX4060/8 144 17.3'' FHD FDOS Gaming Laptop & PER4 ÇANTA,https://www.trendyol.com/hp/omen-17-r9-8945hs-64-ram-1-ssd-rtx4060-8-144-17-3-fhd-fdos-gaming-laptop-per4-canta-p-903798885?boutiqueId=61&merchantId=668896,8945HS,75985.6,903798885,HP,Oyun,17.3 inç,1920 x 1080,Full HD (FHD),IPS,144,Harici,Nvidia GeForce RTX 4060,8.0,,64,1,16,3.2,,Free Dos (İşletim Sistemi Yok)
Nirvana Intel Core i5-1335U 16 RAM 500 NVMe SSD Freedos-Mavi Z100.1335-BV00X-M-Q,https://www.trendyol.com/casper/nirvana-intel-core-i5-1335u-16--ram-500-nvme-ssd-freedos-mavi-z100-1335-bv00x-m-q-p-806443086?boutiqueId=61&merchantId=114258,1335U,25319,806443086,CASPER,Ofis - İş,14 inç,2560 x 1600,QHD,IPS,60,Dahili,Dahili Ekran Kartı,1.0,4.6,16,500,10,1.3,Var,Free Dos (İşletim Sistemi Yok)
"LOQ 15IRX9 i7-13650HX 32-DDR5 2SSD 8 RTX4060 15.6"" Free 83DV011HTRAR11",https://www.trendyol.com/lenovo/loq-15irx9-i7-13650hx-32-ddr5-2-ssd-8-rtx4060-15-6-free-83dv011htrar11-p-917999395?boutiqueId=61&merchantId=1011169,13650HX,62999,917999395,LENOVO,Oyun,15.6 inç,1920 x 1080,Full HD (FHD),IPS,144,Harici,Nvidia GeForce RTX 4060,8.0,4.9,32,2,14,2.6,Yok,Free Dos (İşletim Sistemi Yok)
"Yoga Pro 9 83DN0000TT Ultra9 185H 32 1SSD RTX4050 16"" 3.2K Touch W11H Dizüstü Bilgisayar",https://www.trendyol.com/lenovo/yoga-pro-9-83dn0000tt-ultra9-185h-32-1ssd-rtx4050-16-3-2k-touch-w11h-dizustu-bilgisayar-p-892724301?boutiqueId=61&merchantId=106664,185H,99700,892724301,LENOVO,Ofis - İş,16 inç,3200 x 2000,Ultra HD 4K (UHD),IPS,165,Harici,Nvidia GeForce RTX 4050,6.0,5,32,1,16,1.8,Yok,Windows
Aspire Lite i5 1235U 8 DDR5 1 SSD 16'' WUXGA W11H Taşınabilir Bilgisayar & PER4 ÇANTA,https://www.trendyol.com/acer/aspire-lite-i5-1235u-8-ddr5-1-ssd-16-wuxga-w11h-tasinabilir-bilgisayar-per4-canta-p-879994733?boutiqueId=61&merchantId=593943,1235U,19999,879994733,ACER,Ofis - İş,16 inç,1920 x 1200,WUXGA,IPS,60,Dahili,Intel UHD Graphics,1.0,4.4,8,1,12,3.3,Yok,Windows
"Tuf Gaming A15 Ryzen 5 7535hs 16 1 Ssd Rtx3050 15.6"" 144 Freedos Fa506nc-hn048 Zi701",https://www.trendyol.com/asus/tuf-gaming-a15-ryzen-5-7535hs-16--1--ssd-rtx3050-15-6-144-freedos-fa506nc-hn048-zi701-p-852148451?boutiqueId=61&merchantId=820455,,34702.7,852148451,ASUS,Oyun,15.6 inç,1920 x 1080,Full HD (FHD),IPS,144,Harici,Nvidia GeForce RTX 3050,4.0,,16,1,6,3.3,Yok,Free Dos (İşletim Sistemi Yok)
"ROG Strix G18 i9-14900HX 48 1 SSD RTX4070/8 240 18"" WQXGA FDOS N6062 & PER4 ÇANTA",https://www.trendyol.com/asus/rog-strix-g18-i9-14900hx-48-1-ssd-rtx4070-8-240-18-wqxga-fdos-n6062-per4-canta-p-809354031?boutiqueId=61&merchantId=668896,14900HX,130034,809354031,ASUS,Oyun,18 inç,2560 x 1600,QHD+,IPS,240,Harici,Nvidia GeForce RTX 4070,8.0,,48,1,24,2.5,,Free Dos (İşletim Sistemi Yok)
Thinkbook 16 G4 Iap 21cy0063tx I5-1235u 16 512 Ssd 16 Wuxga Freedos Notebook,https://www.trendyol.com/lenovo/thinkbook-16-g4-iap-21cy0063tx-i5-1235u-16-512-ssd-16-wuxga-freedos-notebook-p-897206742?boutiqueId=61&merchantId=1115833,1000M,28000,897206742,LENOVO,,10 inç,1024 x 768,2.5K,,120,,Adreno GPU,10.0,,1,1,1,1.3,,
"Ideapad L3 82hl009ktx03 I5-1135g7 12 512ssd 15.6"" Fullhd Freedos Taşınabilir Bilgisayar",https://www.trendyol.com/lenovo/ideapad-l3-82hl009ktx03-i5-1135g7-12-512ssd-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-234145774?boutiqueId=61&merchantId=409439,1135G7,19899,234145774,LENOVO,Ofis - İş,15.6 inç,1920 x 1080,Full HD (FHD),IPS,,Dahili,Intel Iris Graphics,1.0,4.4,12,512,4,2.4,Yok,Free Dos (İşletim Sistemi Yok)
